2008 12 01 08 19   11.30     299    0.95      11   614.9
2008 12 01 08 24   11.30     301    0.95      11   615.0
2008 12 01 08 29   12.17     286    1.07      10   615.0
2008 12 01 08 34   12.17     274    1.14      10   615.0
2008 12 01 08 39   13.04     257    1.19      12   615.0
2008 12 01 08 44   13.91     292    1.31      12   615.1
2008 12 01 08 49   13.91     307    1.44      12   615.1
2008 12 01 08 54   17.39     301    1.55      12   615.2
2008 12 01 08 59   17.39     312    1.55      11   615.2
2008 12 01 09 04   17.39     317    1.51      11   615.2
2008 12 01 09 09   18.26     298    1.51      11   615.2
2008 12 01 09 14   16.52     320    1.39      10   615.3
2008 12 01 09 19   13.91     294    1.27      11   615.3
2008 12 01 09 24   19.13     319    1.51      11   615.4
2008 12 01 09 29   17.39     300    1.80      12   615.4
2008 12 01 09 34   15.65     271    2.00      12   615.5
2008 12 01 09 39   13.91     323    2.04      12   615.5
2008 12 01 09 44   15.65     321    2.17      12   615.5
2008 12 01 09 49   13.91     325    2.29      12   615.6
2008 12 01 09 54   11.30     319    2.24      12   615.7
2008 12 01 09 59   11.30     323    2.41      13   615.7
2008 12 01 10 04   12.17     281    2.24      13   615.8
2008 12 01 10 09    9.57     268    2.17      16   615.8
2008 12 01 10 14    8.70     308    2.29      13   615.8
2008 12 01 10 19   11.30     294    2.41      12   615.9
2008 12 01 10 24   11.30     318    2.49      13   615.8
2008 12 01 10 29   10.43     311    2.53      13   615.9
2008 12 01 10 34    9.57     320    2.66      13   615.9
2008 12 01 10 39   10.43     326    2.85      13   615.9
2008 12 01 10 44    7.83     324    3.22      13   615.9
2008 12 01 10 49    6.09     307    3.09      14   615.9
2008 12 01 10 54    6.96     315    2.85      13   615.8
2008 12 01 10 59    6.09     327    2.90      14   615.8
2008 12 01 11 04   11.30     330    2.97      13   615.8
2008 12 01 11 09    8.70     288    2.85      17   615.7
2008 12 01 11 14   13.04     280    2.97      22   615.6
2008 12 01 11 19   11.30     335    2.85      17   615.5
2008 12 01 11 24   15.65     298    2.97      18   615.4
2008 12 01 11 29   13.04     331    3.14      19   615.4
2008 12 01 11 34   14.78     317    3.39      16   615.3
2008 12 01 11 39   16.52     334    3.51      11   615.2
2008 12 01 11 44   14.78     315    3.83      15   615.1
2008 12 01 11 49   15.65     326    3.63      27   615.2
2008 12 01 11 54   13.91     305    3.25      29   615.2
2008 12 01 11 59   11.30     314    2.90      24   615.0
2008 12 01 12 04   11.30     307    2.73      19   615.1
2008 12 01 12 09   10.43     284    3.09      11   615.0
2008 12 01 12 14   11.30     308    3.09      21   615.0
2008 12 01 12 19   12.17     314    3.83      15   615.0
2008 12 01 12 24    6.09     332    3.51      22   614.9
2008 12 01 12 29   13.04     332    3.76      21   614.8
2008 12 01 12 34    1.74     347    4.00      17   614.8
2008 12 01 12 39    8.70     241    4.10      21   614.8
2008 12 01 12 44   12.17     310    4.00      13   614.7
2008 12 01 12 49    8.70     319    4.47      13   614.6
2008 12 01 12 54   13.04     330    4.05      10   614.5
2008 12 01 12 59    7.83     303    3.83      19   614.5
2008 12 01 13 04    7.83     322    4.17      18   614.5
2008 12 01 13 09    6.09     288    4.18      11   614.4
2008 12 01 13 14    3.48     355    4.54      13   614.4
2008 12 01 13 19    8.70     351    4.91      18   614.4
2008 12 01 13 24   12.17     309    4.59      18   614.2
2008 12 01 13 29   10.43     352    4.47      18   614.3
2008 12 01 13 34   13.91     352    4.22      13   614.2
2008 12 01 13 39    9.57     262    4.35      20   614.2
2008 12 01 13 44    6.96     229    4.54      20   614.2
2008 12 01 13 49   11.30     326    4.90      21   614.2
2008 12 01 13 54    8.70     291    4.66      16   614.2
2008 12 01 13 59    7.83     311    5.07      19   614.2
2008 12 01 14 04   11.30     339    4.83      19   614.2
2008 12 01 14 09   10.43     311    4.83      19   614.2
2008 12 01 14 14    9.57     322    4.54      20   614.1
2008 12 01 14 19   10.43     334    4.59      25   614.2
2008 12 01 14 24    7.83     320    4.00      17   614.2
2008 12 01 14 29    4.35     333    3.76      17   614.3
2008 12 01 14 34    5.22     326    3.51      27   614.2
2008 12 01 14 39    0.87      53    3.22      29   614.2
2008 12 01 14 44    0.87     332    3.76      24   614.2
2008 12 01 14 49    1.74     330    4.42      20   614.3
2008 12 01 14 54    0.00     304    4.42      20   614.2
2008 12 01 14 59    6.09     324    4.78      22   614.3
2008 12 01 15 04    6.96     304    4.95      21   614.3
2008 12 01 15 09    4.35     341    4.66      19   614.2
2008 12 01 15 14    6.09     328    4.59      19   614.2
2008 12 01 15 19    3.48     309    4.95      14   614.3
2008 12 01 15 24    3.48     314    4.78      21   614.2
2008 12 01 15 29    8.70     318    4.59      21   614.1
2008 12 01 15 34   15.65     311    4.35      19   614.1
2008 12 01 15 39   10.43     322    4.71      14   614.1
2008 12 01 15 44   10.43     331    4.35      16   614.1
2008 12 01 15 49    5.22     333    4.54      18   614.2
2008 12 01 15 54    6.09     292    4.83      17   614.1
2008 12 01 15 59    6.09     335    4.59      10   614.1
2008 12 01 16 04    9.57     336    4.74      12   614.1
2008 12 01 16 09    6.96     342    4.35      14   614.1
2008 12 01 16 14    6.09     337    4.47      14   614.1
2008 12 01 16 19    3.48     303    4.42      13   614.2
2008 12 01 16 24    5.22     336    4.30      11   614.1
2008 12 01 16 29    6.09     312    4.30      13   614.2
2008 12 01 16 34    6.09     359    4.47      13   614.3
2008 12 01 16 39    5.22     337    4.71      16   614.4
2008 12 01 16 44    6.96     303    4.54      28   614.4
2008 12 01 16 49    7.83     295    4.18      33   614.4
2008 12 01 16 54    6.09     309    3.76      34   614.5
2008 12 01 16 59    6.09     301    3.39      48   614.5
2008 12 01 17 04    6.96     326    3.22      37   614.5
2008 12 01 17 09    5.22     330    3.39      42   614.6
2008 12 01 17 14    6.96     326    3.39      34   614.6
